No.,Book_id,Book_name
1,TP311.561/B-371/2015,Python Cookbook 
2,TP311.561/028/2014,Python宝典
3,TP311.56/0913/2014,易学Python
4,TP311.56/L-975L\ /2013,Programming Python =: Python编程 
5,TP311.56/L-975,Learning Python =: 学习Python 
6,TP311.56/0956/2017,Python高级编程
7,TP311.56/0907/2014,趣学Python编程
8,TP312/1715,Python语言入门
9,,Head First Python
10,TP311.561/037( )/2015,Python编程
11,TP311.56/0788/2009,可爱的Python
12,TP311.56/0934/2016,Python绝技：运用Python成为顶级黑客
13,TP311.56/0954/2017,Python可以这样学
14,TP311.56/0951/2017,Python即学即用
15,TP311.56/0941/2016,21天学通Python
16,TP311.56/0962-2/2017,Python高手之路
17,TP311.56/0873-2/2017,Python科学计算
18,TP311.56/0922/2015,Python Cookbook中文版
19,TP311.561/036/2014,Python开发实战
20,TP311.561/053/2016,Python算法教程
21,TP311.561/039/2015,趣学Python：教孩子学编程
22,TP393.081/032/2018,Python黑客攻防入门
23,TP311.561/0119/2018,Python数据科学入门
24,TP311.561/0120/2018,Python应用开发实战
25,TP311.561/0114/2018,Python数据科学手册
26,TP311.561/0124/2018,Python程序设计
27,TP311.561/0123-2/2018,Python数据分析
28,TP311.561/0122/2018,Python贝叶斯分析
29,TP311.56/0818-3/2018,Python基础教程
30,TP311.561/068/2017,Python数据可视化
31,F830/0372/2017,Python金融实战
32,P208/0149/2017,Python地理数据处理
33,TP311.561/069/2017,Python设计模式
34,TP311.561/095/2018,Python数据处理
35,TP311.561/086/2017,"流畅的Python：clear, concise, and effective programming"
36,TP311.561/0100/2018,跟老齐学Python：轻松入门
37,TP311.561/078/2017,Python网络爬虫实战
38,TP311.561/081/2017,Python极客项目编程
39,TP311.561/0104/2018,Python高性能编程
40,TP311.561/057/2016,Python密码学编程
41,TP311.56/0937/2016,Python网络数据采集
42,TP311.56/0930/2016,Python语言及其应用
43,TP311.56/0944/2016,Python数据分析
44,TP311.56/0970/2018,Python网络编程
45,TP311.561/061/2017,Python数据科学指南
46,TP311.56/0419-3/2017,Python核心编程
47,P208/0143/2016,ArcGIS下的Python编程
48,TP311.56/0818-2/2014,Python基础教程
49,TP311.56/0912/2014,Python编程入门
50,TP311.561/05/2012,Python标准库
51,TP311.56/0873/2012,Python科学计算
52,TP311.56/0836/2011,Python参考手册
53,TP311.56/0816/2010,Python技术手册
54,TP311.56/0818/2010,Python基础教程
55,TP311.56/0803/2010,Python高级编程
56,TP311.56/0730/2008,Python核心编程
57,TP311.56/0419,Python核心编程
58,TP311.56/0869/2011,Python编程入门经典
59,TP311.56/L-693/2013,Introduction to programming using Python =: Python语言程序设计 
60,TP311.561/079/2017,Python机器学习经典实例
61,TP311.561/0102/2018,Python数据分析基础
62,TP311.561/0103/2018,Python机器学习实践指南
63,TP311.561/060/2016,Python性能分析与优化
64,TP311.56/0939/2016,跟老齐学Python：从入门到精通
65,TP311.561/091/2018,Python科学计算基础教程
66,TP311.561/044/2016,Python面向对象编程指南
67,TP311.561/054/2016,Python 3面向对象编程
68,C819/0103/2013,利用Python进行数据分析
69,TP311.561/030/2014,Python计算机视觉编程
70,TP311.56/0915/2014,Python自然语言处理
71,TP311.56/0872/2012,Python编程实践
72,TP311.56/0849-2/2011,Python 3 程序开发指南
73,TP311.56/0687/2008,Python网络编程基础
74,TP311.561/0115/2018,Python编程导论：with application to understanding data
75,TP311.56/0927/2015,Python Web开发：测试驱动方法
76,,Python神经网络编程
77,,物联网Python开发实战
78,,Python数据分析入门
79,,从零开始学Python程序设计
80,TN911.72/0223/2018,Python数字信号处理应用
81,TP311.561/0116/2018,精通Python爬虫框架Scrapy
82,,基于Python的Google App Engine编程
83,F830.59/1230/2017,量化投资：以Python为工具
84,TP311.56/0967/2018,Python机器学习算法
85,TP311.561/0106/2018,Python学习从入门到实践
86,TP311.561/082/2017,精通Python自然语言处理
87,TP311.561/075/2017,Python 3.5从零开始学
88,TP311.56/0971/2018,中学生可以这样学Python
89,TP311.561/0111/2018,Python程序设计案例课堂
90,TP311.561/085/2017,跟老齐学Python：Django实战
91,TP311.561/094/2018,Python项目开发实战
92,TP311.561/073/2017,Python程序设计教程
93,TP311.561/074/2017,Python程序设计开发宝典
94,O241.82/091/2017,ABAQUS Python二次开发攻略
95,TP311.56/0968/2018,从Python开始学编程
96,TP311.56/0942/2016,Python数据分析实战
97,TP311.56/0959/2017,零基础入门学习Python
98,F830-39/06/2017,Python金融大数据分析
99,TP311.1/0134/2015,Python游戏编程入门
100,TP311.561/025/2014,Raspberry Pi Python编程入门
101,TP311.56/0882/2012,Python Web开发学习实录
102,TP311.56/0864/2011,Python语言在Abaqus中的应用
103,TP311.56/0812/2010,Python Cookbook(第2版)中文版
104,TP311.56/0940/2016,Effective Python：编写高质量Python代码的59个有效方法
105,TP311.56/0845/2011,Python灰帽子：黑客与逆向工程师的Python编程之道：Python programming for hackers and reverse engineers
106,TP311.561/0117/2018,Python机器学习基础教程
107,Q811.4/027/2018,Python生物信息学数据管理
108,TP311.1/0162-2/2018,Python游戏编程快速上手
109,TP311.561/0110/2018,Python编程与问题求解
110,TP311.561/063/2017,Python爬虫开发与项目实战
111,TP274/0258/2017,Python数据挖掘入门与实践
112,TP311.56/0947/2016,Python数据分析与挖掘实战
113,TP311.1/0162/2017,Python游戏编程快速上手
114,TP311.561/047/2016,数据科学导论：Python语言实现
115,TP311.561/084/2017,程序设计导论：Python语言实践
116,TP311.56/0925/2015,树莓派Python编程入门与实战
117,TP317.6/033/2016,Python和Pygame游戏开发指南
118,TP311.56/0682/2008,征服Python：语言基础与典型应用
119,TP311.561/0105/2018,Python机器学习实践：测试驱动的开发方法
120,TP311.56/0963/2017,Python机器学习：预测分析核心算法
121,TP311.561/062/2017,精通Python网络爬虫：核心技术、框架与项目实战
122,TP391.414/0272/2016,Maya Python游戏与影视编程指南
123,TP311.561/056/2016,Python编程快速上手：让繁琐工作自动化
124,TP311.56/0943/2016,Python黑帽子：黑客与渗透测试编程之道
125,TP311.56/0911/2014,编写高质量代码：改善Python程序的91个建议：91 suggestions to improve your Python program
126,TP311.561/07/2012,Python计算与编程实践：多媒体方法：a multimedia approach
127,,Python3网络爬虫开发实战
128,,Python编程基础与HTTP接口测试
129,O4/0441/2018,Python物理学高效计算
