No.,Book_id,Book_name
1,,b'\xe6\x9c\xba\xe5\x99\xa8\xe5\xad\xa6\xe4\xb9\xa0\xef\xbc\x9aPython\xe5\xae\x9e\xe8\xb7\xb5'
2,,b'\xe7\xa8\x8b\xe5\xba\x8f\xe5\x91\x98\xe5\xad\xa6Python'
3,,b'Python\xe5\xbc\x80\xe5\x8f\x91\xe5\xae\x9e\xe6\x88\x98'
4,,b'Python\xe5\x85\xa5\xe9\x97\xa8\xe7\xbb\x8f\xe5\x85\xb8'
5,,b'Python\xe8\xb4\x9d\xe5\x8f\xb6\xe6\x96\xaf\xe5\x88\x86\xe6\x9e\x90'
6,,b'Python\xe7\xa8\x8b\xe5\xba\x8f\xe8\xae\xbe\xe8\xae\xa1'
7,,b'Python\xe9\xbb\x91\xe5\xae\xa2\xe6\x94\xbb\xe9\x98\xb2\xe5\x85\xa5\xe9\x97\xa8'
8,,b'Python\xe8\xb6\xa3\xe5\x91\xb3\xe7\xbc\x96\xe7\xa8\x8b10\xe4\xbe\x8b'
9,,b'Python\xe6\xa0\xb8\xe5\xbf\x83\xe7\xbc\x96\xe7\xa8\x8b'
10,,b'Python\xe7\xbd\x91\xe7\xbb\x9c\xe6\x95\xb0\xe6\x8d\xae\xe9\x87\x87\xe9\x9b\x86'
11,,b'\xe8\xb6\xa3\xe5\xad\xa6Python\xef\xbc\x9a\xe6\x95\x99\xe5\xad\xa9\xe5\xad\x90\xe5\xad\xa6\xe7\xbc\x96\xe7\xa8\x8b'
12,,b'\xe8\xb6\xa3\xe5\xad\xa6Python\xef\xbc\x9a\xe6\x95\x99\xe5\xad\xa9\xe5\xad\x90\xe5\xad\xa6\xe7\xbc\x96\xe7\xa8\x8b'
13,,b'Python\xe5\x9f\xba\xe7\xa1\x80\xe6\x95\x99\xe7\xa8\x8b\xef\xbc\x9a\xe7\xac\xac2\xe7\x89\x88'
14,,b'PYTHON\xe6\x8a\x80\xe6\x9c\xaf\xe6\x89\x8b\xe5\x86\x8c\xef\xbc\x9a\xe7\xac\xac2\xe7\x89\x88'
15,,b'Python\xe6\x9c\xba\xe5\x99\xa8\xe5\xad\xa6\xe4\xb9\xa0\xe5\xae\x9e\xe8\xb7\xb5\xe6\x8c\x87\xe5\x8d\x97'
